#x,Curve1
-1.422046,3.6707
-1.416029,3.0979
-1.411309,2.44179
-1.377452,2.5483
-1.371347,2.914
-1.370442,2.42846
-1.354725,3.1117
-1.298279,2.46382
-1.25837,2.45039
-1.244418,1.75856
-1.21565,1.96518
-1.20958,2.02623
