-1.446849999999999969e+00,1.517945400000000156e+01	-1.441440000000000055e+00,2.709526230000000169e+02	-1.440360000000000085e+00,8.511471899999999380e+01	-1.445740000000000025e+00,7.711490700000000231e+01	-1.448649999999999993e+00,1.471069530000000043e+02
-1.398200000000000109e+00,1.848773200000000116e+01	-1.392789999999999973e+00,2.946643359999999916e+02	-1.389240000000000030e+00,7.638566600000000051e+01	-1.392830000000000013e+00,7.024117400000000089e+01	-1.398200000000000109e+00,1.652230840000000001e+02
-1.358559999999999990e+00,1.539557029999999926e+01	-1.356759999999999966e+00,6.538511629999999286e+01	-1.351569999999999938e+00,6.287189049999999213e+01	-1.354260000000000019e+00,5.487851259999999343e+01	-1.358559999999999990e+00,6.088935679999999451e+01
-1.322519999999999918e+00,1.661494800000000183e+01	-1.322519999999999918e+00,9.184633500000000339e+00	-1.317490000000000050e+00,4.288011000000000195e+01	-1.319280000000000008e+00,3.757482750000000493e+01	-1.324319999999999942e+00,2.962055250000000228e+01
-1.254050000000000109e+00,1.852148050000000268e+01	-1.257660000000000000e+00,1.046416500000000083e+00	-1.254709999999999992e+00,3.466815400000000125e+01	-1.259190000000000031e+00,2.768105800000000016e+01	-1.261260000000000048e+00,7.874215500000000922e+00
-1.212609999999999966e+00,1.452942239999999963e+01	-1.219819999999999904e+00,6.919127999999999945e-01	-1.206280000000000019e+00,3.406718879999999672e+01	-1.213449999999999918e+00,2.063721359999999905e+01	-1.221619999999999928e+00,4.628426399999999497e+00
-1.183780000000000054e+00,1.260819369999999928e+01		-1.181170000000000053e+00,3.867651700000000403e+01	-1.183859999999999912e+00,2.384047660000000235e+01	-1.190989999999999993e+00,2.628264200000000272e+00
-1.160360000000000058e+00,1.145229329999999912e+01		-1.158740000000000103e+00,3.629854619999999699e+01	-1.159640000000000004e+00,1.775872000000000028e+01	-1.163960000000000106e+00,1.869521499999999836e+00
-1.115320000000000089e+00,8.229060000000000485e+00		-1.111210000000000031e+00,4.604554499999999706e+01	-1.112109999999999932e+00,1.183497000000000021e+01	-1.117119999999999891e+00,3.454499999999999793e-01
-1.066670000000000007e+00,5.612681299999999318e+00		-1.060990000000000100e+00,7.642850850000000662e+01	-1.065469999999999917e+00,9.950838100000000352e+00	
-1.027030000000000109e+00,5.167223499999999525e+00		-1.018829999999999902e+00,8.142693599999999776e+01	-1.020629999999999926e+00,9.595993500000000509e+00	
-9.909900000000000375e-01,2.994498000000000104e+00		-9.847500000000000142e-01,6.187437359999999842e+01	-9.865500000000000380e-01,3.367177199999999981e+00	
-9.171200000000000463e-01,1.129284000000000177e+00		-9.121099999999999763e-01,4.102821360000000084e+01	-9.156999999999999584e-01,1.627631999999999968e+00	
-0.81622,0.06848800		-8.143500000000000183e-01,1.116427780000000070e+01		
