#x,Curve1
-1.422488,0.37287
-1.417199,0.28288
-1.411961,0.31797
-1.377926,0.29818
-1.371511,0.28466
-1.371278,0.24727
-1.354651,0.35458
-1.298521,0.24866
-1.244256,0.14541
-1.215613,0.14746
-1.209619,0.079523
