E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.49548,0.41623,-0.49007,3.136,-0.49007,0.008252632,,,
,,,,,,,,-0.49492,0.40722,-0.48945,3.08581,-0.48945,0.008120553,,,
,,,,,,,,-0.49371,0.40219,-0.48877,3.037,-0.48877,0.007992105,,,
,,,,,,,,-0.4931,0.39743,-0.48783,3.04603,-0.48783,0.008015868,,,
,,,,,,,,-0.49197,0.39406,-0.4869,3.05829,-0.4869,0.008048132,,,
,,,,,,,,-0.49114,0.38729,-0.48614,3.01468,-0.48614,0.007933368,,,
,,,,,,,,-0.49046,0.38091,-0.48562,3.00117,-0.48562,0.007897816,,,
,,,,,,,,-0.48927,0.37679,-0.48454,2.97408,-0.48454,0.007826526,,,
,,,,,,,,-0.48821,0.37306,-0.48367,2.94966,-0.48367,0.007762263,,,
,,,,,,,,-0.48778,0.36587,-0.48267,2.93061,-0.48267,0.007712132,,,
,,,,,,,,-0.4863,0.36421,-0.48199,2.91407,-0.48199,0.007668605,,,
,,,,,,,,-0.48574,0.35851,-0.48099,2.87427,-0.48099,0.007563868,,,
,,,,,,,,-0.4851,0.35468,-0.48036,2.8348,-0.48036,0.00746,,,
,,,,,,,,-0.48381,0.34866,-0.47946,2.83586,-0.47946,0.007462789,,,
,,,,,,,,-0.48318,0.34386,-0.4786,2.819,-0.4786,0.007418421,,,
,,,,,,,,-0.48234,0.34058,-0.47755,2.79607,-0.47755,0.007358079,,,
,,,,,,,,-0.48156,0.33685,-0.47673,2.80373,-0.47673,0.007378237,,,
,,,,,,,,-0.4807,0.33183,-0.47601,2.77532,-0.47601,0.007303474,,,
,,,,,,,,-0.47977,0.32621,-0.47544,2.7598,-0.47544,0.007262632,,,
,,,,,,,,-0.47855,0.32049,-0.47445,2.75022,-0.47445,0.007237421,,,
,,,,,,,,-0.47796,0.3183,-0.47351,2.70898,-0.47351,0.007128895,,,
,,,,,,,,-0.47673,0.31351,-0.47257,2.68651,-0.47257,0.007069763,,,
,,,,,,,,-0.47635,0.31105,-0.47184,2.67144,-0.47184,0.007030105,,,
,,,,,,,,-0.47548,0.30564,-0.47096,2.65781,-0.47096,0.006994237,,,
,,,,,,,,-0.47419,0.30255,-0.46984,2.62407,-0.46984,0.006905447,,,
,,,,,,,,-0.4738,0.29657,-0.46917,2.59524,-0.46917,0.006829579,,,
,,,,,,,,-0.47275,0.29198,-0.46835,2.602,-0.46835,0.006847368,,,
,,,,,,,,-0.4718,0.28753,-0.46772,2.55914,-0.46772,0.006734579,,,
,,,,,,,,-0.47074,0.28333,-0.4667,2.55356,-0.4667,0.006719895,,,
,,,,,,,,-0.4703,0.27989,-0.46572,2.52649,-0.46572,0.006648658,,,
,,,,,,,,-0.46894,0.27668,-0.46465,2.49207,-0.46465,0.006558079,,,
,,,,,,,,-0.46827,0.27157,-0.46401,2.51137,-0.46401,0.006608868,,,
,,,,,,,,-0.4672,0.26944,-0.46312,2.47141,-0.46312,0.006503711,,,
,,,,,,,,-0.46645,0.26574,-0.46237,2.44605,-0.46237,0.006436974,,,
,,,,,,,,-0.46562,0.26167,-0.46151,2.44839,-0.46151,0.006443132,,,
,,,,,,,,-0.46482,0.25831,-0.46044,2.42264,-0.46044,0.006375368,,,
,,,,,,,,-0.46357,0.25404,-0.45963,2.43073,-0.45963,0.006396658,,,
,,,,,,,,-0.46288,0.25083,-0.45875,2.40825,-0.45875,0.0063375,,,
,,,,,,,,-0.46181,0.24685,-0.45791,2.3659,-0.45791,0.006226053,,,
,,,,,,,,-0.46091,0.2432,-0.45698,2.31612,-0.45698,0.006095053,,,
,,,,,,,,-0.46017,0.23956,-0.45625,2.32592,-0.45625,0.006120842,,,
,,,,,,,,-0.45904,0.23714,-0.45526,2.33214,-0.45526,0.006137211,,,
,,,,,,,,-0.45839,0.23426,-0.45451,2.29468,-0.45451,0.006038632,,,
,,,,,,,,-0.45747,0.23018,-0.45355,2.28669,-0.45355,0.006017605,,,
,,,,,,,,-0.45649,0.22796,-0.45255,2.2742,-0.45255,0.005984737,,,
,,,,,,,,-0.45558,0.22504,-0.45174,2.25914,-0.45174,0.005945105,,,
,,,,,,,,-0.45445,0.22142,-0.45076,2.23281,-0.45076,0.005875816,,,
,,,,,,,,-0.45397,0.21781,-0.44989,2.2111,-0.44989,0.005818684,,,
,,,,,,,,-0.45257,0.21418,-0.44885,2.18688,-0.44885,0.005754947,,,
,,,,,,,,-0.45214,0.21133,-0.44807,2.17263,-0.44807,0.005717447,,,
,,,,,,,,-0.45078,0.20809,-0.44726,2.13569,-0.44726,0.005620237,,,
,,,,,,,,-0.4503,0.20454,-0.44629,2.12059,-0.44629,0.0055805,,,
,,,,,,,,-0.44921,0.20307,-0.4455,2.11624,-0.4455,0.005569053,,,
,,,,,,,,-0.44829,0.20028,-0.44452,2.09215,-0.44452,0.005505658,,,
,,,,,,,,-0.44761,0.19654,-0.4435,2.06283,-0.4435,0.0054285,,,
,,,,,,,,-0.44616,0.19354,-0.44278,2.04732,-0.44278,0.005387684,,,
,,,,,,,,-0.44538,0.19058,-0.44187,2.02971,-0.44187,0.005341342,,,
,,,,,,,,-0.44477,0.18835,-0.44086,2.01915,-0.44086,0.005313553,,,
,,,,,,,,-0.44373,0.18529,-0.44016,2.01122,-0.44016,0.005292684,,,
,,,,,,,,-0.44254,0.18227,-0.43922,1.97856,-0.43922,0.005206737,,,
,,,,,,,,-0.44199,0.18048,-0.43849,1.96686,-0.43849,0.005175947,,,
,,,,,,,,-0.44104,0.17779,-0.43741,1.94888,-0.43741,0.005128632,,,
,,,,,,,,-0.4401,0.17475,-0.43643,1.94378,-0.43643,0.005115211,,,
,,,,,,,,-0.43876,0.1723,-0.43574,1.92958,-0.43574,0.005077842,,,
,,,,,,,,-0.43807,0.16977,-0.43475,1.90051,-0.43475,0.005001342,,,
,,,,,,,,-0.43696,0.16727,-0.43371,1.89753,-0.43371,0.0049935,,,
,,,,,,,,-0.43605,0.16412,-0.43259,1.88641,-0.43259,0.004964237,,,
,,,,,,,,-0.43535,0.16173,-0.43191,1.86329,-0.43191,0.004903395,,,
,,,,,,,,-0.4345,0.15976,-0.43093,1.83775,-0.43093,0.004836184,,,
,,,,,,,,-0.43316,0.15781,-0.42999,1.83054,-0.42999,0.004817211,,,
,,,,,,,,-0.43236,0.15572,-0.42932,1.80305,-0.42932,0.004744868,,,
,,,,,,,,-0.43143,0.15289,-0.42824,1.79327,-0.42824,0.004719132,,,
,,,,,,,,-0.43051,0.15012,-0.4272,1.78163,-0.4272,0.0046885,,,
,,,,,,,,-0.42962,0.14801,-0.42648,1.7601,-0.42648,0.004631842,,,
,,,,,,,,-0.42905,0.1457,-0.42554,1.74683,-0.42554,0.004596921,,,
,,,,,,,,-0.42755,0.14361,-0.42445,1.72431,-0.42445,0.004537658,,,
,,,,,,,,-0.42708,0.142,-0.42367,1.70841,-0.42367,0.004495816,,,
,,,,,,,,-0.42577,0.13992,-0.42272,1.69473,-0.42272,0.004459816,,,
,,,,,,,,-0.42516,0.13741,-0.42185,1.6913,-0.42185,0.004450789,,,
,,,,,,,,-0.42409,0.13545,-0.42091,1.66954,-0.42091,0.004393526,,,
,,,,,,,,-0.42275,0.1336,-0.41987,1.652,-0.41987,0.004347368,,,
,,,,,,,,-0.42245,0.13167,-0.41896,1.63659,-0.41896,0.004306816,,,
,,,,,,,,-0.42127,0.12936,-0.4183,1.61018,-0.4183,0.004237316,,,
,,,,,,,,-0.41988,0.12745,-0.41715,1.59526,-0.41715,0.004198053,,,
,,,,,,,,-0.41881,0.12571,-0.41631,1.58544,-0.41631,0.004172211,,,
,,,,,,,,-0.41828,0.12374,-0.41529,1.56997,-0.41529,0.0041315,,,
,,,,,,,,-0.4175,0.12207,-0.41447,1.55035,-0.41447,0.004079868,,,
,,,,,,,,-0.41612,0.11993,-0.41345,1.53044,-0.41345,0.004027474,,,
,,,,,,,,-0.4155,0.11823,-0.41263,1.52489,-0.41263,0.004012868,,,
,,,,,,,,-0.4147,0.11614,-0.41163,1.50658,-0.41163,0.003964684,,,
,,,,,,,,-0.41331,0.11454,-0.41057,1.49889,-0.41057,0.003944447,,,
,,,,,,,,-0.41252,0.1125,-0.40976,1.49081,-0.40976,0.003923184,,,
,,,,,,,,-0.41174,0.11102,-0.40884,1.47227,-0.40884,0.003874395,,,
,,,,,,,,-0.4109,0.10941,-0.40797,1.45048,-0.40797,0.003817053,,,
,,,,,,,,-0.40966,0.10803,-0.40707,1.44247,-0.40707,0.003795974,,,
,,,,,,,,-0.40885,0.10623,-0.40609,1.41566,-0.40609,0.003725421,,,
,,,,,,,,-0.40791,0.10415,-0.40522,1.39374,-0.40522,0.003667737,,,
,,,,,,,,-0.40696,0.10291,-0.4042,1.39206,-0.4042,0.003663316,,,
,,,,,,,,-0.40621,0.10133,-0.40322,1.38017,-0.40322,0.003632026,,,
,,,,,,,,-0.40484,0.09995,-0.40236,1.3567,-0.40236,0.003570263,,,
,,,,,,,,-0.404,0.09852,-0.40138,1.35182,-0.40138,0.003557421,,,
,,,,,,,,-0.40277,0.09652,-0.40043,1.34453,-0.40043,0.003538237,,,
,,,,,,,,-0.40241,0.09483,-0.39966,1.32389,-0.39966,0.003483921,,,
,,,,,,,,-0.40133,0.09327,-0.39856,1.30292,-0.39856,0.003428737,,,
,,,,,,,,-0.40033,0.09194,-0.39764,1.29344,-0.39764,0.003403789,,,
,,,,,,,,-0.3993,0.09044,-0.39671,1.27571,-0.39671,0.003357132,,,
,,,,,,,,-0.39805,0.08896,-0.39574,1.26329,-0.39574,0.003324447,,,
,,,,,,,,-0.39733,0.08765,-0.39478,1.24363,-0.39478,0.003272711,,,
,,,,,,,,-0.39646,0.08644,-0.39394,1.23501,-0.39394,0.003250026,,,
,,,,,,,,-0.39562,0.0852,-0.39288,1.22221,-0.39288,0.003216342,,,
,,,,,,,,-0.39437,0.08366,-0.39185,1.21871,-0.39185,0.003207132,,,
,,,,,,,,-0.39334,0.08251,-0.39097,1.21068,-0.39097,0.003186,,,
,,,,,,,,-0.39238,0.08118,-0.39015,1.19474,-0.39015,0.003144053,,,
,,,,,,,,-0.39152,0.0799,-0.38916,1.1661,-0.38916,0.003068684,,,
,,,,,,,,-0.39054,0.07857,-0.3882,1.16066,-0.3882,0.003054368,,,
,,,,,,,,-0.38973,0.07725,-0.38721,1.1591,-0.38721,0.003050263,,,
,,,,,,,,-0.38867,0.07598,-0.38628,1.14026,-0.38628,0.003000684,,,
,,,,,,,,-0.38769,0.07467,-0.38519,1.11941,-0.38519,0.002945816,,,
,,,,,,,,-0.38653,0.07354,-0.38444,1.10219,-0.38444,0.0029005,,,
,,,,,,,,-0.38568,0.07256,-0.38339,1.0946,-0.38339,0.002880526,,,
,,,,,,,,-0.38459,0.07126,-0.38259,1.09088,-0.38259,0.002870737,,,
,,,,,,,,-0.38372,0.0703,-0.38145,1.07561,-0.38145,0.002830553,,,
,,,,,,,,-0.38275,0.06918,-0.38053,1.07432,-0.38053,0.002827158,,,
,,,,,,,,-0.38175,0.06779,-0.37947,1.05994,-0.37947,0.002789316,,,
,,,,,,,,-0.38077,0.06666,-0.37869,1.04198,-0.37869,0.002742053,,,
,,,,,,,,-0.37982,0.06566,-0.37769,1.02291,-0.37769,0.002691868,,,
,,,,,,,,-0.37894,0.06457,-0.37665,1.01077,-0.37665,0.002659921,,,
,,,,,,,,-0.378,0.06347,-0.37568,1.00442,-0.37568,0.002643211,,,
,,,,,,,,-0.37687,0.06231,-0.37478,0.99399,-0.37478,0.002615763,,,
,,,,,,,,-0.37582,0.06144,-0.37388,0.97662,-0.37388,0.002570053,,,
,,,,,,,,-0.37495,0.06038,-0.37287,0.96981,-0.37287,0.002552132,,,
,,,,,,,,-0.3739,0.05939,-0.37189,0.96087,-0.37189,0.002528605,,,
,,,,,,,,-0.37283,0.05851,-0.37105,0.9442,-0.37105,0.002484737,,,
,,,,,,,,-0.37216,0.05762,-0.37008,0.93631,-0.37008,0.002463974,,,
,,,,,,,,-0.3711,0.0567,-0.36908,0.92478,-0.36908,0.002433632,,,
,,,,,,,,-0.37011,0.05558,-0.36824,0.90997,-0.36824,0.002394658,,,
,,,,,,,,-0.36933,0.0547,-0.36711,0.89758,-0.36711,0.002362053,,,
,,,,,,,,-0.36824,0.05369,-0.36624,0.88111,-0.36624,0.002318711,,,
,,,,,,,,-0.36697,0.05285,-0.36541,0.87642,-0.36541,0.002306368,,,
,,,,,,,,-0.36621,0.05199,-0.36423,0.86183,-0.36423,0.002267974,,,
,,,,,,,,-0.36524,0.05114,-0.36331,0.85584,-0.36331,0.002252211,,,
,,,,,,,,-0.36424,0.05026,-0.36223,0.84272,-0.36223,0.002217684,,,
,,,,,,,,-0.36321,0.04949,-0.36139,0.83397,-0.36139,0.002194658,,,
,,,,,,,,-0.36229,0.04865,-0.36035,0.82355,-0.36035,0.002167237,,,
,,,,,,,,-0.36139,0.04775,-0.35945,0.80872,-0.35945,0.002128211,,,
,,,,,,,,-0.36026,0.04692,-0.35839,0.8046,-0.35839,0.002117368,,,
,,,,,,,,-0.35936,0.04617,-0.35737,0.79853,-0.35737,0.002101395,,,
,,,,,,,,-0.35837,0.04538,-0.35641,0.78955,-0.35641,0.002077763,,,
,,,,,,,,-0.35738,0.04465,-0.35541,0.77819,-0.35541,0.002047868,,,
,,,,,,,,-0.35647,0.04385,-0.35449,0.76838,-0.35449,0.002022053,,,
,,,,,,,,-0.35559,0.04308,-0.35348,0.75484,-0.35348,0.001986421,,,
,,,,,,,,-0.35449,0.04238,-0.35254,0.74169,-0.35254,0.001951816,,,
,,,,,,,,-0.3535,0.0417,-0.35163,0.72803,-0.35163,0.001915868,,,
,,,,,,,,-0.35243,0.04091,-0.35075,0.72291,-0.35075,0.001902395,,,
,,,,,,,,-0.35166,0.04023,-0.34955,0.71191,-0.34955,0.001873447,,,
,,,,,,,,-0.3506,0.03945,-0.34872,0.70172,-0.34872,0.001846632,,,
,,,,,,,,-0.34948,0.03881,-0.34759,0.69458,-0.34759,0.001827842,,,
,,,,,,,,-0.34863,0.03812,-0.34682,0.68418,-0.34682,0.001800474,,,
,,,,,,,,-0.34754,0.03747,-0.34585,0.67534,-0.34585,0.001777211,,,
,,,,,,,,-0.34666,0.0368,-0.34479,0.66941,-0.34479,0.001761605,,,
,,,,,,,,-0.3456,0.03616,-0.34397,0.66197,-0.34397,0.001742026,,,
,,,,,,,,-0.3447,0.03553,-0.34285,0.65273,-0.34285,0.001717711,,,
,,,,,,,,-0.3437,0.03492,-0.34196,0.64309,-0.34196,0.001692342,,,
,,,,,,,,-0.34264,0.03425,-0.34092,0.64158,-0.34092,0.001688368,,,
,,,,,,,,-0.34167,0.03354,-0.33995,0.6297,-0.33995,0.001657105,,,
,,,,,,,,-0.34078,0.03298,-0.33899,0.61907,-0.33899,0.001629132,,,
,,,,,,,,-0.33978,0.03238,-0.33805,0.61303,-0.33805,0.001613237,,,
,,,,,,,,-0.33877,0.03174,-0.33707,0.60553,-0.33707,0.0015935,,,
,,,,,,,,-0.33765,0.03118,-0.33619,0.59704,-0.33619,0.001571158,,,
,,,,,,,,-0.33669,0.03063,-0.33513,0.58663,-0.33513,0.001543763,,,
,,,,,,,,-0.33579,0.0301,-0.33412,0.58267,-0.33412,0.001533342,,,
,,,,,,,,-0.33479,0.02955,-0.33326,0.57231,-0.33326,0.001506079,,,
,,,,,,,,-0.33364,0.029,-0.33207,0.56468,-0.33207,0.001486,,,
,,,,,,,,-0.33284,0.02845,-0.3312,0.55662,-0.3312,0.001464789,,,
,,,,,,,,-0.33181,0.02792,-0.3301,0.5476,-0.3301,0.001441053,,,
,,,,,,,,-0.33084,0.02745,-0.32928,0.54515,-0.32928,0.001434605,,,
,,,,,,,,-0.32993,0.02692,-0.32826,0.53663,-0.32826,0.001412184,,,
,,,,,,,,-0.32894,0.02643,-0.32724,0.5295,-0.32724,0.001393421,,,
,,,,,,,,-0.32795,0.02593,-0.32633,0.52397,-0.32633,0.001378868,,,
,,,,,,,,-0.32695,0.02545,-0.32535,0.51537,-0.32535,0.001356237,,,
,,,,,,,,-0.32603,0.02515,-0.32434,0.50826,-0.32434,0.001337526,,,
,,,,,,,,-0.32498,0.02458,-0.32339,0.49871,-0.32339,0.001312395,,,
,,,,,,,,-0.32398,0.02417,-0.32242,0.4943,-0.32242,0.001300789,,,
,,,,,,,,-0.32308,0.02367,-0.32141,0.48804,-0.32141,0.001284316,,,
,,,,,,,,-0.32204,0.0233,-0.32044,0.48392,-0.32044,0.001273474,,,
,,,,,,,,-0.32101,0.02284,-0.31946,0.47595,-0.31946,0.0012525,,,
,,,,,,,,-0.31996,0.02238,-0.31847,0.47164,-0.31847,0.001241158,,,
,,,,,,,,-0.31901,0.02195,-0.31752,0.46374,-0.31752,0.001220368,,,
,,,,,,,,-0.31802,0.02158,-0.3164,0.4573,-0.3164,0.001203421,,,
,,,,,,,,-0.31704,0.02115,-0.31563,0.45142,-0.31563,0.001187947,,,
,,,,,,,,-0.31612,0.02078,-0.31466,0.44584,-0.31466,0.001173263,,,
,,,,,,,,-0.31504,0.02031,-0.31363,0.43883,-0.31363,0.001154816,,,
,,,,,,,,-0.314,0.01996,-0.3126,0.43397,-0.3126,0.001142026,,,
,,,,,,,,-0.31301,0.01959,-0.31164,0.42757,-0.31164,0.001125184,,,
,,,,,,,,-0.31205,0.0192,-0.31053,0.4211,-0.31053,0.001108158,,,
,,,,,,,,-0.3111,0.01888,-0.30967,0.41646,-0.30967,0.001095947,,,
,,,,,,,,-0.31009,0.0185,-0.30861,0.41116,-0.30861,0.001082,,,
,,,,,,,,-0.30912,0.01813,-0.30766,0.40535,-0.30766,0.001066711,,,
,,,,,,,,-0.30812,0.01781,-0.30664,0.39732,-0.30664,0.001045579,,,
,,,,,,,,-0.30717,0.01749,-0.30581,0.39218,-0.30581,0.001032053,,,
,,,,,,,,-0.30617,0.01736,-0.30472,0.38883,-0.30472,0.001023237,,,
,,,,,,,,-0.3052,0.01687,-0.30376,0.3843,-0.30376,0.001011316,,,
,,,,,,,,-0.30414,0.01653,-0.30286,0.3782,-0.30286,0.000995263,,,
,,,,,,,,-0.30323,0.01621,-0.30183,0.37158,-0.30183,0.000977842,,,
,,,,,,,,-0.30225,0.01591,-0.30073,0.36795,-0.30073,0.000968289,,,
,,,,,,,,-0.30122,0.01557,-0.29985,0.36309,-0.29985,0.0009555,,,
,,,,,,,,-0.30026,0.01532,-0.29878,0.3582,-0.29878,0.000942632,,,
,,,,,,,,-0.29927,0.01506,-0.29781,0.35277,-0.29781,0.000928342,,,
,,,,,,,,-0.29819,0.01475,-0.29678,0.34973,-0.29678,0.000920342,,,
,,,,,,,,-0.29717,0.01444,-0.29586,0.34295,-0.29586,0.0009025,,,
,,,,,,,,-0.29628,0.0142,-0.29486,0.33842,-0.29486,0.000890579,,,
,,,,,,,,-0.29516,0.01392,-0.2939,0.33467,-0.2939,0.000880711,,,
,,,,,,,,-0.29429,0.01368,-0.29279,0.33024,-0.29279,0.000869053,,,
,,,,,,,,-0.29322,0.01343,-0.2919,0.32715,-0.2919,0.000860921,,,
,,,,,,,,-0.29221,0.0132,-0.29091,0.32054,-0.29091,0.000843526,,,
,,,,,,,,-0.29118,0.01295,-0.28996,0.3174,-0.28996,0.000835263,,,
,,,,,,,,-0.29028,0.01271,-0.28903,0.31496,-0.28903,0.000828842,,,
,,,,,,,,-0.28939,0.01246,-0.28793,0.30861,-0.28793,0.000812132,,,
,,,,,,,,-0.2882,0.01221,-0.28706,0.30565,-0.28706,0.000804342,,,
,,,,,,,,-0.28731,0.01201,-0.28597,0.30132,-0.28597,0.000792947,,,
,,,,,,,,-0.28626,0.01183,-0.28503,0.29736,-0.28503,0.000782526,,,
,,,,,,,,-0.28517,0.0116,-0.28407,0.29418,-0.28407,0.000774158,,,
,,,,,,,,-0.28429,0.01135,-0.28305,0.2877,-0.28305,0.000757105,,,
,,,,,,,,-0.28336,0.01118,-0.28208,0.28545,-0.28208,0.000751184,,,
,,,,,,,,-0.28228,0.01101,-0.2811,0.28325,-0.2811,0.000745395,,,
,,,,,,,,-0.28126,0.01077,-0.28002,0.27933,-0.28002,0.000735079,,,
,,,,,,,,-0.28027,0.01061,-0.27905,0.27383,-0.27905,0.000720605,,,
,,,,,,,,-0.27928,0.01039,-0.2781,0.27356,-0.2781,0.000719895,,,
,,,,,,,,-0.27824,0.01023,-0.2771,0.26809,-0.2771,0.0007055,,,
,,,,,,,,-0.27732,0.01003,-0.27612,0.26433,-0.27612,0.000695605,,,
,,,,,,,,-0.27629,0.00981,-0.27512,0.2635,-0.27512,0.000693421,,,
,,,,,,,,-0.27537,0.00965,-0.27406,0.26044,-0.27406,0.000685368,,,
,,,,,,,,-0.2743,0.00949,-0.27313,0.25673,-0.27313,0.000675605,,,
,,,,,,,,-0.2733,0.00932,-0.27217,0.25129,-0.27217,0.000661289,,,
,,,,,,,,-0.27229,0.00916,-0.27104,0.24892,-0.27104,0.000655053,,,
,,,,,,,,-0.27135,0.00899,-0.27014,0.24828,-0.27014,0.000653368,,,
,,,,,,,,-0.27042,0.00888,-0.26912,0.24266,-0.26912,0.000638579,,,
,,,,,,,,-0.26938,0.00869,-0.2682,0.24212,-0.2682,0.000637158,,,
,,,,,,,,-0.26837,0.00861,-0.26717,0.23774,-0.26717,0.000625632,,,
,,,,,,,,-0.26744,0.00846,-0.26613,0.23318,-0.26613,0.000613632,,,
,,,,,,,,-0.26637,0.00834,-0.26524,0.23104,-0.26524,0.000608,,,
,,,,,,,,-0.26541,0.00818,-0.26418,0.22873,-0.26418,0.000601921,,,
,,,,,,,,-0.26446,0.00805,-0.26321,0.22668,-0.26321,0.000596526,,,
,,,,,,,,-0.26339,0.00796,-0.26229,0.2231,-0.26229,0.000587105,,,
,,,,,,,,-0.26242,0.00786,-0.26122,0.22156,-0.26122,0.000583053,,,
,,,,,,,,-0.26147,0.00771,-0.26025,0.21884,-0.26025,0.000575895,,,
,,,,,,,,-0.2604,0.00758,-0.25925,0.21624,-0.25925,0.000569053,,,
,,,,,,,,-0.25943,0.00747,-0.2583,0.21364,-0.2583,0.000562211,,,
,,,,,,,,-0.25837,0.00737,-0.25731,0.21089,-0.25731,0.000554974,,,
,,,,,,,,-0.25742,0.00723,-0.25621,0.20877,-0.25621,0.000549395,,,
,,,,,,,,-0.25638,0.00713,-0.25526,0.20645,-0.25526,0.000543289,,,
,,,,,,,,-0.25547,0.00706,-0.25426,0.20468,-0.25426,0.000538632,,,
,,,,,,,,-0.2544,0.00691,-0.25331,0.20221,-0.25331,0.000532132,,,
,,,,,,,,-0.2535,0.00682,-0.25233,0.19894,-0.25233,0.000523526,,,
,,,,,,,,-0.25242,0.00675,-0.25139,0.19707,-0.25139,0.000518605,,,
,,,,,,,,-0.2514,0.00663,-0.25036,0.19383,-0.25036,0.000510079,,,
,,,,,,,,-0.25045,0.0065,-0.2494,0.19417,-0.2494,0.000510974,,,
,,,,,,,,-0.24942,0.00647,-0.24828,0.19099,-0.24828,0.000502605,,,
,,,,,,,,-0.24848,0.00635,-0.24738,0.18873,-0.24738,0.000496658,,,
,,,,,,,,-0.24747,0.00626,-0.24635,0.1869,-0.24635,0.000491842,,,
,,,,,,,,-0.24652,0.00619,-0.24532,0.18525,-0.24532,0.0004875,,,
,,,,,,,,-0.24549,0.00613,-0.24439,0.1828,-0.24439,0.000481053,,,
,,,,,,,,-0.24444,0.00602,-0.24332,0.18125,-0.24332,0.000476974,,,
,,,,,,,,-0.24353,0.00594,-0.24236,0.17915,-0.24236,0.000471447,,,
,,,,,,,,-0.24238,0.00582,-0.2413,0.17697,-0.2413,0.000465711,,,
,,,,,,,,-0.24144,0.00579,-0.24039,0.17583,-0.24039,0.000462711,,,
,,,,,,,,-0.24057,0.00568,-0.23943,0.17304,-0.23943,0.000455368,,,
,,,,,,,,-0.23955,0.00563,-0.23838,0.17212,-0.23838,0.000452947,,,
,,,,,,,,-0.23856,0.00553,-0.23741,0.16968,-0.23741,0.000446526,,,
,,,,,,,,-0.23753,0.00547,-0.23638,0.16897,-0.23638,0.000444658,,,
,,,,,,,,-0.23648,0.00542,-0.23535,0.16648,-0.23535,0.000438105,,,
,,,,,,,,-0.23541,0.00534,-0.23439,0.16682,-0.23439,0.000439,,,
,,,,,,,,-0.23458,0.00529,-0.23341,0.16399,-0.23341,0.000431553,,,
,,,,,,,,-0.2335,0.00522,-0.23241,0.16218,-0.23241,0.000426789,,,
,,,,,,,,-0.23255,0.00517,-0.23146,0.16183,-0.23146,0.000425868,,,
,,,,,,,,-0.23156,0.0051,-0.2304,0.15883,-0.2304,0.000417974,,,
,,,,,,,,-0.23052,0.00505,-0.22943,0.15748,-0.22943,0.000414421,,,
,,,,,,,,-0.22951,0.005,-0.22841,0.15598,-0.22841,0.000410474,,,
,,,,,,,,-0.2285,0.00488,-0.22744,0.1545,-0.22744,0.000406579,,,
,,,,,,,,-0.22756,0.00487,-0.22644,0.15295,-0.22644,0.0004025,,,
,,,,,,,,-0.22649,0.00484,-0.22546,0.15193,-0.22546,0.000399816,,,
,,,,,,,,-0.22557,0.00478,-0.22448,0.15007,-0.22448,0.000394921,,,
,,,,,,,,-0.22449,0.00472,-0.22345,0.14862,-0.22345,0.000391105,,,
,,,,,,,,-0.22354,0.00469,-0.22237,0.14742,-0.22237,0.000387947,,,
,,,,,,,,-0.22248,0.00461,-0.22142,0.14589,-0.22142,0.000383921,,,
,,,,,,,,-0.22149,0.00456,-0.22037,0.14508,-0.22037,0.000381789,,,
,,,,,,,,-0.22049,0.00451,-0.21943,0.14325,-0.21943,0.000376974,,,
,,,,,,,,-0.21943,0.00448,-0.21842,0.14243,-0.21842,0.000374816,,,
,,,,,,,,-0.2185,0.00443,-0.21747,0.14043,-0.21747,0.000369553,,,
,,,,,,,,-0.21753,0.00438,-0.21643,0.13977,-0.21643,0.000367816,,,
,,,,,,,,-0.21653,0.00431,-0.21543,0.13871,-0.21543,0.000365026,,,
,,,,,,,,-0.21551,0.00428,-0.21438,0.13801,-0.21438,0.000363184,,,
,,,,,,,,-0.21447,0.00423,-0.21352,0.13591,-0.21352,0.000357658,,,
,,,,,,,,-0.21345,0.00418,-0.21245,0.13579,-0.21245,0.000357342,,,
,,,,,,,,-0.21248,0.00416,-0.21147,0.13416,-0.21147,0.000353053,,,
,,,,,,,,-0.2116,0.00409,-0.21044,0.13287,-0.21044,0.000349658,,,
,,,,,,,,-0.21065,0.00405,-0.20949,0.13137,-0.20949,0.000345711,,,
,,,,,,,,-0.20956,0.004,-0.20853,0.13067,-0.20853,0.000343868,,,
,,,,,,,,-0.20847,0.00397,-0.20753,0.1297,-0.20753,0.000341316,,,
,,,,,,,,-0.20755,0.0039,-0.20651,0.12913,-0.20651,0.000339816,,,
,,,,,,,,-0.20658,0.00391,-0.20543,0.12791,-0.20543,0.000336605,,,
,,,,,,,,-0.20544,0.00386,-0.20451,0.12594,-0.20451,0.000331421,,,
,,,,,,,,-0.20456,0.00381,-0.20347,0.12594,-0.20347,0.000331421,,,
,,,,,,,,-0.20355,0.0038,-0.20247,0.12465,-0.20247,0.000328026,,,
,,,,,,,,-0.20265,0.00376,-0.20147,0.12277,-0.20147,0.000323079,,,
,,,,,,,,-0.20154,0.00372,-0.20055,0.12373,-0.20055,0.000325605,,,
,,,,,,,,-0.20054,0.00372,-0.19941,0.12103,-0.19941,0.0003185,,,
