E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.66499,2.19746,-0.65357,8.5038,-0.65357,0.022378421,,,
,,,,,,,,-0.6647,2.17325,-0.6532,8.51654,-0.6532,0.022411947,,,
,,,,,,,,-0.66401,2.15969,-0.65248,8.57461,-0.65248,0.022564763,,,
,,,,,,,,-0.66328,2.15056,-0.65148,8.57493,-0.65148,0.022565605,,,
,,,,,,,,-0.66237,2.14363,-0.65089,8.53924,-0.65089,0.022471684,,,
,,,,,,,,-0.66222,2.12059,-0.65058,8.48959,-0.65058,0.022341026,,,
,,,,,,,,-0.66144,2.10214,-0.65007,8.43634,-0.65007,0.022200895,,,
,,,,,,,,-0.661,2.09059,-0.64954,8.42063,-0.64954,0.022159553,,,
,,,,,,,,-0.66017,2.0662,-0.64944,8.32225,-0.64944,0.021900658,,,
,,,,,,,,-0.65985,2.04636,-0.64885,8.36054,-0.64885,0.022001421,,,
,,,,,,,,-0.65872,2.05737,-0.64785,8.32861,-0.64785,0.021917395,,,
,,,,,,,,-0.65799,2.04492,-0.64703,8.26253,-0.64703,0.0217435,,,
,,,,,,,,-0.65711,2.03715,-0.64617,8.26919,-0.64617,0.021761026,,,
,,,,,,,,-0.65702,2.02276,-0.64557,8.20188,-0.64557,0.021583895,,,
,,,,,,,,-0.65659,2.00676,-0.64496,8.21622,-0.64496,0.021621632,,,
,,,,,,,,-0.65603,1.97656,-0.645,8.11895,-0.645,0.021365658,,,
,,,,,,,,-0.65521,1.9702,-0.64414,8.07498,-0.64414,0.021249947,,,
,,,,,,,,-0.65422,1.96295,-0.6434,8.11969,-0.6434,0.021367605,,,
,,,,,,,,-0.65401,1.95149,-0.64261,8.11854,-0.64261,0.021364579,,,
,,,,,,,,-0.65334,1.93254,-0.6422,8.10981,-0.6422,0.021341605,,,
,,,,,,,,-0.65238,1.92883,-0.64147,8.02324,-0.64147,0.021113789,,,
,,,,,,,,-0.65209,1.9019,-0.64135,7.97808,-0.64135,0.020994947,,,
,,,,,,,,-0.65149,1.89364,-0.64058,7.9511,-0.64058,0.020923947,,,
,,,,,,,,-0.65008,1.89,-0.63954,7.95125,-0.63954,0.020924342,,,
,,,,,,,,-0.64966,1.87381,-0.63905,7.90156,-0.63905,0.020793579,,,
,,,,,,,,-0.64913,1.86329,-0.63845,7.87359,-0.63845,0.020719974,,,
,,,,,,,,-0.64896,1.84658,-0.63773,7.85432,-0.63773,0.020669263,,,
,,,,,,,,-0.64781,1.83432,-0.63723,7.84315,-0.63723,0.020639868,,,
