#x,Curve1
-1.422415,24.402
-1.416299,23.506
-1.411232,25.637
-1.377001,20.232
-1.371672,16.308
-1.354314,16.062
-1.298203,2.625
-1.270491,0.232
-1.24467,1.467
-1.229207,7.181
-1.215405,0.309
