#x,Curve1
-1.44574,12.223
-1.39283,10.357
-1.35426,19.958
-1.31928,25.745
-1.25919,30.236
-1.21345,27.649
-1.18386,31.258
-1.15964,25.6
-1.11211,16.102
-1.06547,10.423
-1.02063,9.837
-0.98655,4.897
-0.9157,3.56
