#x,Curve1
-1.422747,40
-1.416714,51.65
-1.411877,50.194
-1.377908,32.33
-1.371106,27.254
-1.3546,15.146
-1.298366,4.466
-1.269528,0.971
-1.244333,0.583
-1.2298,1.068
-1.215747,0.291
-1.209207,0.485
