surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	100	OCC	-2.111758	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	100	OCC-H	-0.853347	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	100	OCC-H-ele	-1.410833801	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	100	OCC-HO	-0.5781903	[96.7, 122.1, 147.2, 180.8, 262.9, 281.4, 323., 518.3, 565.4, 603.1, 828.9, 1431.9, 1513.5, 1541.]	This work
Cu	100	OCC-HO-ele	0.125932014	[38.6, 159.1, 181.7, 188.7, 214.5, 363.1, 490.3, 570.2, 676.5, 1245.5, 1393.0, 1584.8, 1651.1]	This work
Cu	100	OCCH	-1.483986	[160.9, 187.1, 247.4, 290.9, 332.2, 370.1, 578.9, 744.0, 1016.3, 1074.1, 1416.7, 2923.6]	This work
Cu	100	OCCHO	-1.488421	[124.4,137.9,203.5,222.9,246.7,284.2,364.3,414.6,768.9,826.1,957.2,1303.7,1407.4,1448.2,3000.6]	This work
Cu	100	OCCO	-1.116482	[161.3,176.3,203.4,260.2,323.5,336.3,358.5,540.2,654.6,808.5,1375.4,1594.3]	This work
Cu	100	OCCO-H-ele	-0.898931058	[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]	This work
Cu	100	OCCOH	-0.487495	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	100	OCCOH-H-ele	-0.487495	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	100	OH	-0.222189799	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work
Cu	111	CH	0.473924698	[379.0, 380.0, 503.1, 599.3, 599.4, 3065.5]	This work
Cu	111	CH-H	0.96706246	[379.60000000000002, 437.80000000000001, 558.70000000000005, 656.5, 894.79999999999995, 1573.3, 3011.5]	This work
Cu	111	CH-OH	1.56091698	[3636.7, 3097.8, 904.1, 727.9, 609.3, 467.3, 367.9, 347.1, 256.7, 171.2, 119.7]	This work
Cu	111	CH2	-0.198589364	[152.0, 257.5, 305.9, 416.3, 434.8, 643.3, 1329.9, 2947.9, 3008.0]	This work
Cu	111	CH2-H	0.3186847	[62.100000000000001, 278.10000000000002, 322.80000000000001, 504.80000000000001, 588.70000000000005, 852.39999999999998, 953.20000000000005, 1338.5999999999999, 1815.2, 3008.8000000000002, 3082.0]	This work
Cu	111	CH2O	-0.875487301	[63.1, 141., 181., 202.1, 303.2, 392.7, 882.1, 1187.5, 1329.3, 1516.1, 2924.1, 3005.4]	This work
Cu	111	CH3	-1.248281326	[95.8, 103.5, 226.0, 278.8, 545.5, 547.6, 1166.3, 1400.4, 1403.8, 2944.3, 3014.7, 3016.4]	This work
Cu	111	CH3-H	-0.64363006	[156.0, 192.5, 442.10000000000002, 648.39999999999998, 656.70000000000005, 1072.4000000000001, 1218.7, 1320.5999999999999, 1375.5999999999999, 1415.9000000000001, 2641.9000000000001, 3025.9000000000001, 3096.0]	This work
Cu	111	CH3O	-1.298092563	[]	This work
Cu	111	CHO	-0.088313639	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	111	CHO-H-ele	0.410686361	[2767.1, 1659.6, 1220.8, 664.3, 396.5, 221.4, 88.4, 73.2, 36.6]	This work
Cu	111	CHOH	0.589747599	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
Cu	111	CHOH-H-ele	0.826820099	[3656.8, 2964.2, 1378.6, 1198.8, 1018.8, 704.1, 400.0, 328.0, 216.2, 208.9, 152.2, 63.3]	This work
